size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
121,960972,124875,534181,961333,8.3784e+06,4.68839e+06
122,1.20211e+06,152028,5.15232e+06,7.16035e+06,207764,620500
123,1.00832e+06,134361,561722,4.43099e+06,235653,581028
124,1.03124e+06,123347,4.53203e+06,6.15601e+06,204167,587598
125,5.99511e+06,262278,828819,2.94876e+06,695153,1.98197e+06
126,1.62361e+06,733375,1.30314e+06,5.22907e+06,403264,926097
127,1.85593e+07,4.43396e+06,676903,1.22261e+06,279542,667125
128,6.18467e+06,114792,714125,2.87568e+06,218653,1.07552e+07
129,1.33244e+06,171083,743306,1.28811e+06,332000,1.1211e+07
130,1.47212e+06,221194,926000,2.21422e+06,253959,2.07325e+06
131,9.72771e+06,155805,1.03843e+06,1.87547e+06,343875,975417
132,1.08384e+07,230389,1.46858e+06,1.80906e+06,466389,1.11697e+06
133,9.0535e+06,266736,1.99057e+07,1.91583e+06,543528,2.04236e+06
134,6.59183e+06,151389,731208,1.90601e+06,316792,775917
135,5.76147e+06,4.89649e+06,4.41138e+06,2.22386e+06,625416,1.16657e+06
136,1.37169e+06,147500,760680,1.37635e+06,327889,9.09856e+06
137,1.61781e+06,208291,891958,1.6109e+06,2.69185e+06,3.09107e+06
138,1.8199e+06,218778,1.20778e+07,1.61401e+06,391125,903903
139,1.00939e+07,187583,825403,1.76466e+07,735806,1.18483e+06
140,1.17509e+07,306833,1.00254e+07,1.51404e+06,366875,901597
141,1.83214e+07,1.0677e+07,1.36968e+06,3.63154e+06,712361,1.39817e+06
142,3.83072e+06,344667,1.31211e+07,2.34418e+06,1.13992e+06,3.03539e+06
143,7.62685e+06,261320,7.83146e+06,4.26792e+06,468056,1.21976e+07
144,1.1365e+07,277945,1.33015e+06,7.14297e+06,395861,6.8206e+06
145,3.4809e+06,2.02839e+06,5.98454e+06,1.04598e+07,481389,951444
146,1.93907e+06,309514,3.08912e+06,1.91664e+06,662014,9.43576e+06
147,1.97999e+06,246639,1.10971e+06,1.97003e+06,9.8024e+06,1.05946e+06
148,1.40122e+07,457333,1.95606e+07,3.82567e+06,671722,1.20638e+06
149,6.98385e+06,224403,1.01992e+06,1.82894e+06,533000,1.03029e+07
150,2.79779e+06,508014,1.84244e+06,1.23166e+07,985153,1.73674e+07
151,1.98838e+06,1.16121e+07,1.12868e+06,2.32747e+07,582986,1.08796e+06
152,3.09417e+06,498917,1.56419e+06,1.7746e+07,595569,9.4331e+06
153,7.94674e+06,251625,3.18238e+06,2.04719e+06,605805,9.80314e+06
154,7.51107e+06,268153,1.40368e+07,5.09892e+06,536625,5.95246e+06
155,7.1164e+06,607778,2.31497e+06,1.26775e+07,599597,1.22798e+07
156,2.6125e+06,414014,1.79793e+06,3.27235e+06,503223,1.4221e+07
157,4.32797e+06,730055,2.20675e+06,2.58207e+06,620320,2.19663e+07
158,9.81918e+06,286097,1.2514e+06,3.31903e+07,8.27128e+06,1.24833e+06
159,3.58512e+06,292361,3.09726e+06,9.21485e+06,641097,1.09715e+07
160,1.37602e+07,230278,1.92433e+06,2.5616e+06,591639,1.35978e+07
161,2.92396e+06,461416,1.77818e+06,3.11247e+07,1.19743e+07,1.12281e+07
162,2.338e+06,267792,7.70778e+06,2.41967e+06,561722,1.32664e+06
163,5.92858e+06,326902,4.226e+06,2.53908e+06,734125,3.18274e+07
164,2.44822e+06,232542,1.35288e+06,2.06116e+07,1.04932e+07,1.10446e+07
165,3.20892e+06,500152,6.87081e+06,1.47561e+07,710722,1.34729e+07
