size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
93,8.14938e+07,6.37121e+06,1.10368e+08,2.00529e+08,1.16008e+08,8.39866e+07
94,1.39118e+07,1.38828e+08,2.12251e+06,2.20713e+08,2.00121e+08,1.01913e+08
95,5.18329e+06,1.04931e+08,1.21352e+08,9.71956e+06,1.48688e+08,2.28974e+08
96,4.63799e+07,1.96803e+08,2.28686e+06,1.47318e+07,2.92313e+08,1.44127e+08
97,1.97791e+07,8.93479e+07,6.0493e+07,1.21892e+08,1.17406e+08,3.25073e+08
98,3.11401e+06,3.03375e+06,3.96161e+07,1.15544e+08,2.28488e+08,2.66914e+08
99,1.17789e+08,5.22385e+07,2.32997e+08,1.62041e+08,7.06156e+07,1.21489e+08
100,1.02716e+08,1.98687e+08,2.54333e+06,3.18844e+08,1.5607e+08,1.00222e+08
101,1.72376e+08,1.91705e+07,1.28569e+07,4.05536e+08,8.13578e+07,2.73543e+06
102,7.23518e+07,1.84802e+08,1.48115e+08,9.59464e+07,1.51497e+08,9.23273e+07
103,8.82217e+06,3.51494e+06,2.69296e+08,9.91661e+07,6.99679e+07,2.39678e+08
104,3.70186e+06,9.89348e+07,3.57593e+08,9.78331e+06,2.10765e+08,8.87856e+07
105,1.20315e+08,5.15675e+06,7.42329e+07,1.21691e+08,3.72489e+08,9.76319e+07
106,1.75072e+08,8.13994e+07,1.84124e+08,1.14733e+08,6.8812e+07,1.17372e+08
107,7.18574e+07,1.45473e+08,1.59997e+08,1.46815e+08,2.46343e+08,2.77456e+07
108,2.04599e+08,1.19954e+08,1.17739e+08,1.47287e+08,1.40738e+08,1.78597e+08
109,9.1423e+07,1.85976e+08,4.64275e+07,1.23823e+08,2.53435e+08,1.68947e+08
110,2.25643e+08,2.72278e+08,1.57685e+07,1.28894e+08,1.01546e+08,1.63682e+08
111,2.32712e+07,4.38112e+08,5.80227e+07,3.53604e+08,9.42522e+07,9.87699e+07
112,3.86169e+08,1.02667e+08,8.25142e+07,2.36262e+08,4.76779e+06,1.91155e+08
113,4.74683e+06,3.64236e+08,1.81228e+07,1.26736e+08,4.67183e+06,4.30775e+08
114,4.85696e+06,4.00558e+08,3.84474e+06,2.9915e+08,4.81886e+06,3.62537e+08
115,4.45013e+07,6.25858e+07,2.8032e+07,5.33177e+08,8.15305e+07,2.55845e+08
