n,FLOPs_per_sec
291,8.29923817e+08
292,7.30487826e+08
293,7.76767578e+08
294,7.26691860e+08
295,7.59352845e+08
296,8.14558977e+08
297,7.91753558e+08
298,7.57479560e+08
299,7.37793329e+08
300,7.55640013e+08
301,7.71117186e+08
302,7.86147629e+08
303,7.57969040e+08
304,8.07518055e+08
305,7.87004659e+08
306,7.83609662e+08
307,7.72313332e+08
308,7.08160498e+08
309,7.93608312e+08
310,7.68074937e+08
311,8.11693570e+08
312,7.91503651e+08
313,8.68691496e+08
314,7.81474240e+08
315,6.95231878e+08
316,7.84379852e+08
317,7.36295527e+08
318,7.97603289e+08
319,7.82359665e+08
320,7.79654866e+08
321,7.77423452e+08
322,8.31875566e+08
323,7.88421065e+08
324,7.69329236e+08
325,7.77846920e+08
326,7.35652234e+08
327,7.76058778e+08
328,7.57153028e+08
329,7.49902141e+08
330,7.21656430e+08
331,7.88918092e+08
332,7.58530753e+08
333,7.69951107e+08
334,7.64773631e+08
335,8.21116479e+08
336,7.76177141e+08
337,7.60506696e+08
338,7.55748622e+08
339,7.90891385e+08
340,7.69135233e+08
341,7.38553879e+08
342,7.90409450e+08
343,8.55670578e+08
344,7.92796656e+08
345,7.87556573e+08
346,8.44847379e+08
347,7.87737767e+08
348,7.67493002e+08
349,7.46991819e+08
350,7.40181269e+08
351,7.54291837e+08
352,7.92317096e+08
353,7.51915103e+08
354,7.81968962e+08
355,7.77598499e+08
356,7.63725221e+08
357,7.71378768e+08
358,7.79606134e+08
359,7.90142101e+08
360,7.53397118e+08
361,7.70179985e+08
362,7.31522013e+08
363,7.77685752e+08
364,7.99875236e+08
365,7.86182234e+08
366,7.62618653e+08
367,7.37825164e+08
368,7.76717887e+08
369,8.18295731e+08
370,7.76738323e+08
371,7.90157736e+08
372,6.81578187e+08
373,7.79039199e+08
374,7.51404761e+08
375,7.32130167e+08
376,7.40889288e+08
377,7.30192872e+08
378,7.86788115e+08
379,7.83823432e+08
380,7.59972668e+08
381,7.76002673e+08
382,7.89489630e+08
383,7.93448913e+08
384,7.96192255e+08
385,8.13088777e+08
386,7.17260856e+08
387,7.75782763e+08
388,7.77308202e+08
389,7.55319698e+08
390,7.88195890e+08
391,7.77168701e+08
392,7.35454382e+08
393,7.88060722e+08
394,7.82428342e+08
395,7.29942090e+08
396,7.89204568e+08
397,7.58191829e+08
398,7.53183952e+08
399,7.71286552e+08
400,7.93688851e+08
401,7.75723417e+08
402,7.48358376e+08
403,7.90284516e+08
404,7.72798761e+08
405,8.12395061e+08
406,7.86546378e+08
407,7.76403867e+08
408,7.55676746e+08
409,6.94391999e+08
410,7.81279653e+08
411,7.95364014e+08
412,7.83735283e+08
413,7.36247348e+08
414,7.73215038e+08
415,7.85593462e+08
416,7.79799075e+08
417,7.37599673e+08
418,7.72925233e+08
419,7.42919329e+08
420,8.12668538e+08
421,7.88589454e+08
422,7.20542499e+08
423,7.72147083e+08
424,7.66885027e+08
425,7.66962341e+08
426,7.96724874e+08
427,7.84374937e+08
428,8.14805370e+08
429,7.73800631e+08
430,7.78731245e+08
431,7.73131709e+08
432,7.24382064e+08
433,7.50248097e+08
434,8.11709621e+08
435,7.78792907e+08
436,7.51965991e+08
437,7.68573006e+08
438,7.32034823e+08
439,7.68281064e+08
440,7.79793572e+08
441,7.77060427e+08
442,7.84813432e+08
443,8.27545057e+08
444,7.92661082e+08
445,7.79200083e+08
446,7.65429533e+08
447,8.13771036e+08
448,7.66594902e+08
449,7.92621371e+08
450,8.25407609e+08
451,7.96717831e+08
452,7.37485907e+08
453,7.30298898e+08
454,7.72995390e+08
455,7.96526742e+08
456,7.93544362e+08
457,7.65579255e+08
458,7.67020035e+08
459,7.63894193e+08
460,7.87105262e+08
461,7.81905970e+08
462,8.09820560e+08
463,8.10852009e+08
464,7.84697447e+08
465,7.54986543e+08
466,7.57117281e+08
467,7.32149392e+08
468,7.69592594e+08
469,7.59304423e+08
470,7.55034274e+08
471,7.68150610e+08
472,7.71769499e+08
473,7.79486518e+08
474,7.65396868e+08
475,8.24242564e+08
476,7.74802902e+08
477,7.80396871e+08
478,7.73939612e+08
479,7.92333397e+08
480,7.69639332e+08
481,8.10686940e+08
482,8.10157481e+08
483,8.01833339e+08
484,8.05945553e+08
485,7.61605396e+08
486,7.38689601e+08
487,7.49777124e+08
488,8.13588043e+08
489,7.89938610e+08
490,7.65022041e+08
491,7.97658121e+08
492,7.82077709e+08
493,7.93989762e+08
494,8.03245423e+08
495,7.75259000e+08
496,8.02771448e+08
497,7.87611461e+08
498,7.84477714e+08
499,8.09941971e+08
500,7.67296003e+08
501,7.61121503e+08
502,8.08910716e+08
503,7.78007664e+08
504,7.88002844e+08
505,7.68501363e+08
506,7.89338441e+08
507,7.76290311e+08
508,7.73241300e+08
509,7.59288856e+08
510,7.60788810e+08
511,7.88521508e+08
512,8.03164732e+08
